taxon_id,name,obs_count
154320,Gentianopsis crinita,35
170206,Viburnum sieboldii,35
204170,Crocanthemum canadense,35
204392,Primula japonica,35
49524,Lilium lancifolium,34
60317,Veronica peregrina,34
77838,Lotus tenuis,34
85327,Polygonatum biflorum,34
118730,Zizania aquatica,34
127504,Carex bromoides,34
159830,Cardamine bulbosa,34
58369,Bromus tectorum,33
60460,Calla palustris,33
64268,Trifolium incarnatum,33
69685,Eriocaulon aquaticum,33
84296,Picea mariana,33
129038,Petasites japonicus,33
165054,Macleaya cordata,33
200052,Euphorbia nutans,33
204244,Athyrium asplenioides,33
337821,Deutzia crenata,33
48229,Ranunculus repens,32
53326,Vinca major,32
54143,Tragopogon dubius,32
54792,Juglans cinerea,32
54808,Fraxinus pennsylvanica,32
61334,Narcissus poeticus,32
61340,Cirsium discolor,32
62404,Aureolaria flava,32
68032,Glyceria canadensis,32
76793,Elodea canadensis,32
117442,Verbesina alternifolia,32
128078,Carex grayi,32
128808,Salix eriocephala,32
129322,Coreopsis verticillata,32
160493,Chelone lyonii,32
161751,Desmodium rotundifolium,32
199979,Dendrolycopodium dendroideum,32
47687,Erodium cicutarium,31
50312,Dirca palustris,31
52383,Pinus resinosa,31
55732,Potentilla norvegica,31
62338,Lysimachia vulgaris,31
81705,Phlox divaricata,31
81722,Sanicula canadensis,31
127287,Carex debilis,31
129548,Asclepias quadrifolia,31
136368,Paronychia canadensis,31
165994,Oxalis montana,31
1449995,Palustricodon aparinoides,31
51768,Gaillardia pulchella,30
68049,Arctostaphylos uva-ursi,30
77293,Glyceria striata,30
77741,Ligustrum ovalifolium,30
78707,Potamogeton crispus,30
84772,Oxalis dillenii,30
119821,Antennaria plantaginifolia,30
122343,Allium tuberosum,30
131183,Solidago odora,30
142733,Cuscuta gronovii,30
155005,Hypericum canadense,30
161460,Cyperus lupulinus,30
55724,Symphytum officinale,29
62041,Platanthera lacera,29
62184,Isotria verticillata,29
75903,Bromus inermis,29
82811,Pellaea atropurpurea,29
130756,Alisma subcordatum,29
162273,Elsholtzia ciliata,29
1677724,Artemisia caudata,29
47910,Asclepias amplexicaulis,28
49658,Liquidambar styraciflua,28
56002,Dipsacus fullonum,28
63696,Dicentra eximia,28
63886,Persicaria lapathifolia,28
77279,Glaucium flavum,28
116361,Acer spicatum,28
126563,Tripsacum dactyloides,28
131006,Mimulus alatus,28
141535,Plagiomnium cuspidatum,28
320685,Geranium macrorrhizum,28
1510826,Calamagrostis breviligulata,28
57310,Vicia tetrasperma,27
58780,Silene antirrhina,27
76790,Eleusine indica,27
121931,Picea rubens,27
127269,Cirsium horridulum,27
128687,Silene caroliniana,27
132717,Eutrochium fistulosum,27
158068,Agalinis purpurea,27
164664,Leucothoe fontanesiana,27
